stage	measurement	size_mm
II	cdd_preserved	1.197
II	cdd_preserved	1.04
II	cdd_preserved	1.408
III	cdd_preserved	2.384
III	cdd_preserved	2.152
III	cdd_preserved	1.991
I	cdd_preserved	0.742
I	cdd_preserved	0.912
II	cdd_preserved	1.129
II	cdd_preserved	1.121
III	cdd_preserved	1.753
II	cdd_preserved	1.398
II	cdd_preserved	1.155
III	cdd_preserved	1.681
III	cdd_preserved	1.658
III	cdd_preserved	1.934
III	cdd_preserved	1.617
III	cdd_preserved	1.761
III	cdd_preserved	2.11
III	cdd_preserved	1.573
III	cdd_preserved	1.415
III	cdd_preserved	2.183
III	cdd_preserved	2.009
III	cdd_preserved	1.508
III	cdd_preserved	1.682
I	cdd_preserved	0.997
II	cdd_preserved	1.401
I	cdd_preserved	0.955
II	cdd_preserved	1.337
II	cdd_preserved	1.314
II	cdd_preserved	1.2
II	cdd_preserved	1.412
II	cdd_preserved	1.102
II	cdd_preserved	1.069
II	cdd_preserved	1.026
II	cdd_preserved	1.066
II	cdd_preserved	1.255
II	cdd_preserved	1.222
II	cdd_preserved	1.033
II	cdd_preserved	1.08
II	cdd_preserved	1.096
I	cdd_preserved	0.998
II	cdd_preserved	1.196
I	cdd_preserved	0.954
III	cdd_preserved	1.851
III	cdd_preserved	1.585
III	cdd_preserved	1.593
III	cdd_preserved	1.54
II	cdd_preserved	1.049
II	cdd_preserved	1.168
II	cdd_preserved	1.073
II	cdd_preserved	1.165
II	cdd_preserved	1.069
II	cdd_preserved	1.093
II	cdd_preserved	1.213
II	cdd_preserved	1.276
II	cdd_preserved	1.095
II	cdd_preserved	1.089
II	cdd_preserved	1.277
II	cdd_preserved	1.047
II	cdd_preserved	1.184
I	cdd_preserved	0.845
II	cdd_preserved	1.31
II	cdd_preserved	1.125
II	cdd_preserved	1.054
II	cdd_preserved	1.214
II	cdd_preserved	1.065
II	cdd_preserved	1.341
II	cdd_preserved	1.217
II	cdd_preserved	1.236
II	cdd_preserved	1.332
II	cdd_preserved	1.163
I	cdd_preserved	0.942
I	cdd_preserved	0.926
II	cdd_preserved	1.076
III	cdd_preserved	1.841
II	cdd_preserved	1.255
II	cdd_preserved	1.379
III	cdd_preserved	1.579
II	cdd_preserved	1.093
II	cdd_preserved	1.327
III	cdd_preserved	1.404
III	cdd_preserved	1.594
I	cdd_preserved	0.879
I	cdd_preserved	0.944
I	cdd_preserved	0.842
II	cdd_preserved	1.032
II	cdd_preserved	1.294
II	cdd_preserved	1.199
II	cdd_preserved	1.21
II	cdd_preserved	1.125
II	cdd_preserved	1.099
II	cdd_preserved	1.214
II	cdd_preserved	1.065
II	cdd_preserved	1.341
II	cdd_preserved	1.406
II	cdd_preserved	1.236
II	cdd_preserved	1.232
II	cdd_preserved	1.123
II	cdd_preserved	1.492
III	cdd_preserved	1.672
III	cdd_preserved	1.826
I	cdd_preserved	0.81
II	cdd_preserved	1.182
II	cdd_preserved	1.221
II	cdd_preserved	1.324
II	cdd_preserved	1.112
II	cdd_preserved	1.061
III	cdd_preserved	1.496
III	cdd_preserved	1.624
III	cdd_preserved	1.41
III	cdd_preserved	1.572
II	cdd_preserved	1.089
II	cdd_preserved	1.081
II	cdd_preserved	1.065
II	cdd_preserved	1.085
II	cdd_preserved	0.982
III	cdd_preserved	1.461
I	cdd_preserved	0.821
II	cdd_preserved	1.033
II	cdd_preserved	0.992
II	cdd_preserved	1.088
I	cdd_preserved	0.689
III	cdd_preserved	1.535
III	cdd_preserved	1.633
II	cdd_preserved	1.121
II	cdd_preserved	1.854
I	cdd_preserved	0.695
I	cdd_preserved	0.894
II	cdd_preserved	1.086
II	cdd_preserved	1.145
II	cdd_preserved	1.118
II	cdd_preserved	1.184
II	cdd_preserved	1.084
II	cdd_preserved	1.264
II	cdd_preserved	1.383
II	cdd_preserved	1.437
II	cdd_preserved	1.048
II	cdd_preserved	1.085
III	cdd_preserved	1.517
III	cdd_preserved	1.529
II	cdd_preserved	1.119
II	cdd_preserved	1.068
II	cdd_preserved	1.153
II	cdd_preserved	1.002
II	cdd_preserved	1.087
II	cdd_preserved	1.228
II	cdd_preserved	1.046
II	cdd_preserved	1.073
III	cdd_preserved	1.535
III	cdd_preserved	1.507
III	cdd_preserved	1.417
I	cdd_preserved	0.814
III	cdd_preserved	1.234
III	cdd_preserved	1.37
III	cdd_preserved	1.196
III	cdd_preserved	1.373
III	cdd_preserved	1.249
III	cdd_preserved	1.557
III	cdd_preserved	1.266
III	cdd_preserved	1.204
III	cdd_preserved	1.333
II	cdd_preserved	1.054
II	cdd_preserved	0.986
I	cdd_preserved	0.768
II	cdd_preserved	1.01
II	cdd_preserved	1.107
II	cdd_preserved	1.045
II	cdd_preserved	1.005
II	cdd_preserved	1.177
I	cdd_preserved	0.828
I	cdd_preserved	0.852
I	cdd_preserved	0.863
II	cdd_preserved	1.222
II	cdd_preserved	0.986
II	cdd_preserved	1.166
II	cdd_preserved	0.994
II	cdd_preserved	1.121
II	cdd_preserved	1.168
II	cdd_preserved	1.137
II	cdd_preserved	1.007
II	cdd_preserved	1.019
II	cdd_preserved	1.016
II	cdd_preserved	1.073
II	cdd_preserved	1.09
II	cdd_preserved	1.041
II	cdd_preserved	1.055
II	cdd_preserved	1.018
II	cdd_preserved	1.234
II	cdd_preserved	1.166
II	cdd_preserved	1.116
II	cdd_preserved	1.296
II	cdd_preserved	0.969
II	cdd_preserved	1.242
II	cdd_preserved	1.148
II	cdd_preserved	1.129
II	cdd_preserved	1.242
II	cdd_preserved	1.068
II	cdd_preserved	1.149
I	cdd_preserved	0.737
II	cdd_preserved	1.02
I	cdd_preserved	0.897
I	cdd_preserved	0.638
II	cdd_preserved	1.03
I	cdd_preserved	0.699
I	cdd_preserved	0.729
I	cdd_preserved	0.711
I	cdd_preserved	0.734
I	cdd_preserved	0.914
I	cdd_preserved	0.876
I	cdd_preserved	0.715
I	cdd_preserved	0.724
II	cdd_preserved	1.117
II	cdd_preserved	1.06
I	cdd_preserved	0.644
I	cdd_preserved	0.874
II	cdd_preserved	1.083
I	cdd_preserved	0.703
I	cdd_preserved	0.777
II	cdd_preserved	1.164
II	cdd_preserved	0.908
I	cdd_preserved	0.651
I	cdd_preserved	0.875
I	cdd_preserved	0.667
II	cdd_preserved	1.13
II	cdd_preserved	1.038
II	cdd_preserved	1.141
II	cdd_preserved	1.175
II	cdd_preserved	1.199
II	cdd_preserved	1.177
II	cdd_preserved	1.182
II	cdd_preserved	1.323
II	cdd_preserved	1.268
II	cdd_preserved	1.377
II	cdd_preserved	1.144
II	cdd_preserved	1.146
I	cdd_preserved	0.653
I	cdd_preserved	0.68
I	cdd_preserved	0.851
II	cdd_preserved	1.086
II	cdd_preserved	1.184
II	cdd_preserved	1.114
III	cdd_preserved	1.792
III	cdd_preserved	1.425
III	cdd_preserved	1.598
III	cdd_preserved	1.266
III	cdd_preserved	1.728
III	cdd_preserved	1.705
III	cdd_preserved	1.701
IV	cdd_preserved	3.541
IV	cdd_preserved	3.184
IV	cdd_preserved	3.957
IV	cdd_preserved	4.392
IV	cdd_preserved	3.229
IV	cdd_preserved	3.088
IV	cdd_preserved	3.734
IV	cdd_preserved	3.63
IV	cdd_preserved	3.452
IV	cdd_preserved	3.31
IV	cdd_preserved	3.532
IV	cdd_preserved	2.732
III	cdd_preserved	1.434
III	cdd_preserved	1.502
III	cdd_preserved	1.523
III	cdd_preserved	1.347
III	cdd_preserved	1.41
III	cdd_preserved	1.88
III	cdd_preserved	1.672
III	cdd_preserved	1.456
III	cdd_preserved	1.854
IV	cdd_preserved	4.029
III	cdd_preserved	2.573
III	cdd_preserved	1.966
III	cdd_preserved	1.315
III	cdd_preserved	1.546
III	cdd_preserved	1.785
III	cdd_preserved	1.556
III	cdd_preserved	1.37
III	cdd_preserved	1.486
III	cdd_preserved	2
IV	cdd_preserved	2.925
IV	cdd_preserved	3.22
III	cdd_preserved	1.852
III	cdd_preserved	2.19
III	cdd_preserved	1.991
III	cdd_preserved	1.635
III	cdd_preserved	1.452
III	cdd_preserved	1.665
III	cdd_preserved	1.516
III	cdd_preserved	1.652
III	cdd_preserved	2.367
II	cdd_preserved	1.008
II	cdd_preserved	0.956
III	cdd_preserved	2.233
III	cdd_preserved	1.71
IV	cdd_preserved	2.763
IV	cdd_preserved	3.346
IV	cdd_preserved	2.873
IV	cdd_preserved	2.756
III	cdd_preserved	1.575
III	cdd_preserved	1.449
III	cdd_preserved	1.997
IV	cdd_preserved	2.774
IV	cdd_preserved	2.852
IV	cdd_preserved	2.773
III	cdd_preserved	1.673
III	cdd_preserved	1.236
III	cdd_preserved	1.409
III	cdd_preserved	1.397
IV	cdd_preserved	2.058
IV	cdd_preserved	2.815
IV	cdd_preserved	2.369
IV	cdd_preserved	2.655
III	cdd_preserved	1.734
III	cdd_preserved	1.638
III	cdd_preserved	1.77
III	cdd_preserved	1.502
III	cdd_preserved	1.688
III	cdd_preserved	1.837
IV	cdd_preserved	3.041
IV	cdd_preserved	2.595
III	cdd_preserved	2.234
III	cdd_preserved	1.758
III	cdd_preserved	1.542
III	cdd_preserved	1.648
III	cdd_preserved	1.605
III	cdd_preserved	1.514
III	cdd_preserved	2.176
III	cdd_preserved	1.531
IV	cdd_preserved	2.381
IV	cdd_preserved	2.036
IV	cdd_preserved	3.024
III	cdd_preserved	1.63
III	cdd_preserved	1.421
III	cdd_preserved	1.73
III	cdd_preserved	1.667
III	cdd_preserved	1.538
III	cdd_preserved	1.432
III	cdd_preserved	1.701
III	cdd_preserved	1.576
II	cdd_preserved	1.009
III	cdd_preserved	1.635
III	cdd_preserved	1.398
III	cdd_preserved	1.606
III	cdd_preserved	1.572
III	cdd_preserved	1.599
III	cdd_preserved	1.962
IV	cdd_preserved	2.584
IV	cdd_preserved	2.962
II	cdd_preserved	1.1
III	cdd_preserved	1.613
II	cdd_preserved	1.117
II	cdd_preserved	1.105
II	cdd_preserved	1.195
III	cdd_preserved	1.522
III	cdd_preserved	1.569
III	cdd_preserved	1.253
IV	cdd_preserved	2.839
IV	cdd_preserved	3.215
III	cdd_preserved	1.245
III	cdd_preserved	1.397
III	cdd_preserved	1.616
IV	cdd_preserved	3.178
IV	cdd_preserved	3.23
III	cdd_preserved	1.318
III	cdd_preserved	1.389
III	cdd_preserved	1.502
III	cdd_preserved	1.598
III	cdd_preserved	1.656
III	cdd_preserved	1.597
III	cdd_preserved	1.79
IV	cdd_preserved	2.889
IV	cdd_preserved	2.825
IV	cdd_preserved	3.194
IV	cdd_preserved	2.836
III	cdd_preserved	1.224
III	cdd_preserved	1.5
IV	cdd_preserved	3.038
III	cdd_preserved	1.665
III	cdd_preserved	1.51
IV	cdd_preserved	2.277
III	cdd_preserved	1.597
III	cdd_preserved	1.711
III	cdd_preserved	1.403
III	cdd_preserved	1.429
III	cdd_preserved	1.399
III	cdd_preserved	1.377
III	cdd_preserved	1.516
III	cdd_preserved	1.793
IV	cdd_preserved	2.435
IV	cdd_preserved	2.382
II	cdd_preserved	1.04
II	cdd_preserved	0.987
IV	cdd_preserved	2.621
IV	cdd_preserved	2.315
IV	cdd_preserved	1.98
IV	cdd_preserved	2.154
III	cdd_preserved	1.774
III	cdd_preserved	1.383
III	cdd_preserved	1.45
III	cdd_preserved	1.367
III	cdd_preserved	1.422
II	cdd_preserved	1.102
III	cdd_preserved	1.513
III	cdd_preserved	1.681
III	cdd_preserved	2.021
III	cdd_preserved	1.583
III	cdd_preserved	1.564
III	cdd_preserved	1.684
III	cdd_preserved	1.781
III	cdd_preserved	1.311
III	cdd_preserved	1.612
II	cdd_preserved	1.116
II	cdd_preserved	1.109
II	cdd_preserved	1.001
III	cdd_preserved	1.418
III	cdd_preserved	1.432
III	cdd_preserved	1.31
IV	cdd_preserved	3.045
III	cdd_preserved	1.756
III	cdd_preserved	1.569
III	cdd_preserved	1.311
III	cdd_preserved	1.345
III	cdd_preserved	1.236
III	cdd_preserved	1.361
III	cdd_preserved	1.414
III	cdd_preserved	1.579
III	cdd_preserved	1.161
III	cdd_preserved	1.607
III	cdd_preserved	1.295
III	cdd_preserved	1.541
III	cdd_preserved	1.825
III	cdd_preserved	1.444
III	cdd_preserved	1.746
III	cdd_preserved	1.285
III	cdd_preserved	1.408
III	cdd_preserved	1.756
III	cdd_preserved	2.081
III	cdd_preserved	1.464
IV	cdd_preserved	2.362
IV	cdd_preserved	2.398
III	cdd_preserved	1.507
III	cdd_preserved	1.745
III	cdd_preserved	1.989
II	cdd_preserved	0.892
II	cdd_preserved	1.071
II	cdd_preserved	1.034
III	cdd_preserved	1.422
III	cdd_preserved	1.545
III	cdd_preserved	1.888
III	cdd_preserved	1.705
II	cdd_preserved	1.137
III	cdd_preserved	1.34
III	cdd_preserved	1.401
III	cdd_preserved	1.15
II	cdd_preserved	1.004
II	cdd_preserved	0.847
II	cdd_preserved	0.935
II	cdd_preserved	1.242
I	cdd_preserved	0.659
I	cdd_preserved	0.911
II	cdd_preserved	1.199
II	cdd_preserved	0.965
II	cdd_preserved	1.024
II	cdd_preserved	1.013
II	cdd_preserved	1.037
I	cdd_preserved	0.661
III	cdd_preserved	1.351
III	cdd_preserved	1.777
III	cdd_preserved	1.323
II	cdd_preserved	1.008
II	cdd_preserved	1.135
II	cdd_preserved	0.948
II	cdd_preserved	0.952
II	cdd_preserved	1.098
II	cdd_preserved	1.118
III	cdd_preserved	2.02
III	cdd_preserved	1.713
II	cdd_preserved	1.077
II	cdd_preserved	1.132
IV	cdd_preserved	2.023
III	cdd_preserved	1.494
III	cdd_preserved	1.19
III	cdd_preserved	1.599
III	cdd_preserved	1.469
III	cdd_preserved	1.793
III	cdd_preserved	1.839
II	cdd_preserved	0.922
III	cdd_preserved	1.324
II	cdd_preserved	1.003
III	cdd_preserved	1.639
III	cdd_preserved	1.77
III	cdd_preserved	1.502
III	cdd_preserved	1.87
III	cdd_preserved	1.688
III	cdd_preserved	1.734
II	cdd_preserved	1.292
II	cdd_preserved	1.023
II	cdd_preserved	0.923
II	cdd_preserved	0.893
II	cdd_preserved	1.139
II	cdd_preserved	1.008
III	cdd_preserved	1.114
III	cdd_preserved	1.587
III	cdd_preserved	1.638
III	cdd_preserved	1.588
III	cdd_preserved	1.645
III	cdd_preserved	1.837
IV	cdd_preserved	2.655
IV	cdd_preserved	2.815
IV	cdd_preserved	2.369
IV	cdd_preserved	2.508
IV	cdd_preserved	2.435
II	cdd_preserved	1.212
II	cdd_preserved	1.023
II	cdd_preserved	0.923
II	cdd_preserved	1.006
II	cdd_preserved	1.139
III	cdd_preserved	1.598
III	cdd_preserved	1.587
III	cdd_preserved	1.389
III	cdd_preserved	1.502
III	cdd_preserved	1.686
III	cdd_preserved	1.676
III	cdd_preserved	1.597
III	cdd_preserved	1.636
III	cdd_preserved	1.79
III	cdd_preserved	1.809
III	cdd_preserved	1.318
III	cdd_preserved	1.382
III	cdd_preserved	1.67
III	cdd_preserved	1.702
III	cdd_preserved	1.301
III	cdd_preserved	1.482
III	cdd_preserved	1.699
II	cdd_preserved	1.177
II	cdd_preserved	1.182
II	cdd_preserved	1.323
IV	cdd_preserved	2.268
IV	cdd_preserved	2.377
IV	cdd_preserved	2.144
II	cdd_preserved	1.146
I	cdd_preserved	0.684
I	cdd_preserved	0.735
I	cdd_preserved	0.601
I	cdd_preserved	0.983
III	cdd_preserved	1.329
III	cdd_preserved	1.563
III	cdd_preserved	1.233
III	cdd_preserved	1.874
III	cdd_preserved	1.803
III	cdd_preserved	2.153
III	cdd_preserved	1.654
III	cdd_preserved	1.755
III	cdd_preserved	1.464
III	cdd_preserved	1.385
III	cdd_preserved	1.583
III	cdd_preserved	1.862
III	cdd_preserved	1.723
III	cdd_preserved	1.392
III	cdd_preserved	1.329
III	cdd_preserved	1.384
III	cdd_preserved	1.482
III	cdd_preserved	1.329
III	cdd_preserved	1.599
III	cdd_preserved	1.344
III	cdd_preserved	1.748
III	cdd_preserved	1.523
III	cdd_preserved	1.349
III	cdd_preserved	1.47
III	cdd_preserved	1.88
III	cdd_preserved	1.672
III	cdd_preserved	1.504
III	cdd_preserved	1.854
III	cdd_preserved	1.338
III	cdd_preserved	1.341
III	cdd_preserved	1.456
IV	cdd_preserved	1.994
IV	cdd_preserved	2.493
IV	cdd_preserved	2.194
III	cdd_preserved	1.842
III	cdd_preserved	1.682
III	cdd_preserved	1.502
III	cdd_preserved	1.71
IV	cdd_preserved	2.731
III	cdd_preserved	1.582
III	cdd_preserved	1.46
III	cdd_preserved	1.661
III	cdd_preserved	1.747
III	cdd_preserved	1.378
III	cdd_preserved	1.485
III	cdd_preserved	1.387
IV	cdd_preserved	2.52
III	cdd_preserved	1.894
III	cdd_preserved	1.658
III	cdd_preserved	1.631
III	cdd_preserved	1.408
II	cdd_preserved	1.058
III	cdd_preserved	1.741
III	cdd_preserved	1.454
III	cdd_preserved	1.671
III	cdd_preserved	1.98
III	cdd_preserved	1.324
III	cdd_preserved	1.653
III	cdd_preserved	2.02
III	cdd_preserved	1.518
IV	cdd_preserved	2.026
IV	cdd_preserved	2.123
IV	cdd_preserved	2.019
III	cdd_preserved	1.566
III	cdd_preserved	1.434
III	cdd_preserved	1.784
III	cdd_preserved	1.436
III	cdd_preserved	1.429
III	cdd_preserved	1.803
III	cdd_preserved	1.579
III	cdd_preserved	1.258
III	cdd_preserved	1.947
III	cdd_preserved	1.318
III	cdd_preserved	1.679
III	cdd_preserved	1.626
III	cdd_preserved	1.462
II	cdd_preserved	1.06
III	cdd_preserved	1.494
III	cdd_preserved	1.317
II	cdd_preserved	1.064
III	cdd_preserved	1.42
III	cdd_preserved	1.582
III	cdd_preserved	1.726
III	cdd_preserved	1.565
III	cdd_preserved	1.33
III	cdd_preserved	1.377
IV	cdd_preserved	2.515
III	cdd_preserved	1.548
III	cdd_preserved	1.37
III	cdd_preserved	1.943
III	cdd_preserved	1.216
III	cdd_preserved	1.198
III	cdd_preserved	1.676
III	cdd_preserved	1.615
III	cdd_preserved	1.417
III	cdd_preserved	1.753
III	cdd_preserved	1.411
III	cdd_preserved	1.234
III	cdd_preserved	1.544
III	cdd_preserved	1.327
III	cdd_preserved	1.71
IV	cdd_preserved	2.593
III	cdd_preserved	1.14
III	cdd_preserved	1.453
III	cdd_preserved	1.266
III	cdd_preserved	1.25
III	cdd_preserved	1.226
III	cdd_preserved	1.637
III	cdd_preserved	1.488
III	cdd_preserved	1.454
III	cdd_preserved	1.538
III	cdd_preserved	1.208
III	cdd_preserved	1.249
III	cdd_preserved	1.616
III	cdd_preserved	1.281
III	cdd_preserved	1.62
III	cdd_preserved	1.506
III	cdd_preserved	1.23
III	cdd_preserved	1.156
III	cdd_preserved	1.64
III	cdd_preserved	1.552
III	cdd_preserved	1.412
III	cdd_preserved	1.493
III	cdd_preserved	1.764
III	cdd_preserved	1.676
II	cdd_preserved	1.312
III	cdd_preserved	1.688
III	cdd_preserved	1.504
II	cdd_preserved	0.959
III	cdd_preserved	2.082
III	cdd_preserved	1.475
III	cdd_preserved	1.659
III	cdd_preserved	1.126
III	cdd_preserved	1.53
II	cdd_preserved	1.268
II	cdd_preserved	1.09
III	cdd_preserved	1.897
III	cdd_preserved	1.683
III	cdd_preserved	1.788
II	cdd_preserved	1.023
II	cdd_preserved	1.074
II	cdd_preserved	1.313
II	cdd_preserved	1.271
II	cdd_preserved	1.205
II	cdd_preserved	1.061
II	cdd_preserved	1.191
II	cdd_preserved	1.291
II	cdd_preserved	1.069
II	cdd_preserved	1.314
II	cdd_preserved	1.241
I	cdd_preserved	0.771
III	cdd_preserved	2.032
III	cdd_preserved	1.965
III	cdd_preserved	1.465
III	cdd_preserved	1.355
II	cdd_preserved	1.038
II	cdd_preserved	1.104
II	cdd_preserved	0.982
II	cdd_preserved	1.07
II	cdd_preserved	0.952
III	cdd_preserved	1.392
III	cdd_preserved	1.823
III	cdd_preserved	1.719
III	cdd_preserved	1.793
II	cdd_preserved	1
II	cdd_preserved	1.09
II	cdd_preserved	1.158
III	cdd_preserved	1.319
III	cdd_preserved	1.516
III	cdd_preserved	1.728
II	cdd_preserved	1.008
II	cdd_preserved	1.05
II	cdd_preserved	1.134
II	cdd_preserved	1.06
II	cdd_preserved	1.082
II	cdd_preserved	1.084
II	cdd_preserved	1.177
II	cdd_preserved	0.98
II	cdd_preserved	0.892
II	cdd_preserved	1.043
II	cdd_preserved	1.134
II	cdd_preserved	1.107
II	cdd_preserved	1.088
III	cdd_preserved	1.431
III	cdd_preserved	1.616
III	cdd_preserved	1.639
III	cdd_preserved	1.604
III	cdd_preserved	1.401
III	cdd_preserved	1.366
III	cdd_preserved	1.485
III	cdd_preserved	1.72
III	cdd_preserved	1.724
II	cdd_preserved	0.993
II	cdd_preserved	1.178
II	cdd_preserved	1.149
III	cdd_preserved	1.538
III	cdd_preserved	1.413
III	cdd_preserved	1.697
III	cdd_preserved	1.494
III	cdd_preserved	1.42
III	cdd_preserved	1.479
III	cdd_preserved	1.519
III	cdd_preserved	1.698
II	cdd_preserved	1.103
II	cdd_preserved	1.091
III	cdd_preserved	1.489
III	cdd_preserved	1.572
III	cdd_preserved	1.596
I	cdd_preserved	0.72
III	cdd_preserved	1.432
III	cdd_preserved	1.448
III	cdd_preserved	1.264
III	cdd_preserved	1.73
III	cdd_preserved	1.458
III	cdd_preserved	1.667
III	cdd_preserved	1.534
III	cdd_preserved	1.53
III	cdd_preserved	1.396
III	cdd_preserved	1.702
III	cdd_preserved	1.386
III	cdd_preserved	1.558
III	cdd_preserved	1.447
III	cdd_preserved	1.412
II	cdd_preserved	1.107
II	cdd_preserved	1.088
III	cdd_preserved	1.634
III	cdd_preserved	1.83
III	cdd_preserved	1.468
III	cdd_preserved	1.608
I	cdd_preserved	0.892
I	cdd_preserved	0.89
I	cdd_preserved	0.875
II	cdd_preserved	1.031
II	cdd_preserved	1.183
II	cdd_preserved	1.09
II	cdd_preserved	1.165
II	cdd_preserved	1.245
II	cdd_preserved	1.068
II	cdd_preserved	1.149
II	cdd_preserved	1.082
II	cdd_preserved	1.134
II	cdd_preserved	1.123
II	cdd_preserved	0.934
II	cdd_preserved	1.055
III	cdd_preserved	1.364
III	cdd_preserved	1.456
III	cdd_preserved	1.607
III	cdd_preserved	1.402
II	cdd_preserved	0.949
II	cdd_preserved	0.964
II	cdd_preserved	1.124
III	cdd_preserved	1.503
III	cdd_preserved	1.4
III	cdd_preserved	1.55
III	cdd_preserved	1.448
III	cdd_preserved	1.535
II	cdd_preserved	1.306
II	cdd_preserved	1.017
II	cdd_preserved	1.031
III	cdd_preserved	1.432
III	cdd_preserved	1.4
III	cdd_preserved	1.582
III	cdd_preserved	1.505
III	cdd_preserved	1.369
III	cdd_preserved	1.568
III	cdd_preserved	1.666
II	cdd_preserved	1.22
III	cdd_preserved	1.434
III	cdd_preserved	1.849
III	cdd_preserved	1.642
III	cdd_preserved	1.393
III	cdd_preserved	1.738
III	cdd_preserved	1.846
III	cdd_preserved	1.444
III	cdd_preserved	1.525
III	cdd_preserved	1.906
III	cdd_preserved	1.785
III	cdd_preserved	1.535
III	cdd_preserved	1.504
III	cdd_preserved	1.738
II	cdd_preserved	1.15
II	cdd_preserved	0.989
II	cdd_preserved	1.198
II	cdd_preserved	1.074
II	cdd_preserved	1.136
II	cdd_preserved	1.149
III	cdd_preserved	1.636
III	cdd_preserved	1.489
II	cdd_preserved	1.096
II	cdd_preserved	1.199
II	cdd_preserved	0.993
II	cdd_preserved	1.151
II	cdd_preserved	1.059
II	cdd_preserved	1.215
II	cdd_preserved	1.037
II	cdd_preserved	1.008
II	cdd_preserved	0.973
IV	cdd_preserved	2.843
IV	cdd_preserved	2.56
I	cdd_preserved	0.889
I	cdd_preserved	0.778
III	cdd_preserved	1.54
III	cdd_preserved	1.588
III	cdd_preserved	1.781
III	cdd_preserved	1.468
III	cdd_preserved	1.64
III	cdd_preserved	1.623
III	cdd_preserved	1.749
III	cdd_preserved	1.81
III	cdd_preserved	1.51
III	cdd_preserved	1.668
II	cdd_preserved	1.024
II	cdd_preserved	0.887
II	cdd_preserved	1.323
II	cdd_preserved	1.319
I	cdd_preserved	0.771
III	cdd_preserved	1.293
III	cdd_preserved	1.538
III	cdd_preserved	1.556
III	cdd_preserved	1.459
III	cdd_preserved	1.224
III	cdd_preserved	1.037
III	cdd_preserved	1.571
III	cdd_preserved	1.686
III	cdd_preserved	1.516
III	cdd_preserved	1.514
II	cdd_preserved	1.234
II	cdd_preserved	1.1
III	cdd_preserved	1.636
III	cdd_preserved	1.602
III	cdd_preserved	1.849
III	cdd_preserved	1.345
III	cdd_preserved	1.941
II	cdd_preserved	0.934
II	cdd_preserved	1.103
II	cdd_preserved	1.231
II	cdd_preserved	1.2
II	cdd_preserved	0.997
III	cdd_preserved	1.947
III	cdd_preserved	1.784
III	cdd_preserved	1.758
III	cdd_preserved	1.594
II	cdd_preserved	0.932
II	cdd_preserved	1.1
III	cdd_preserved	1.318
III	cdd_preserved	1.434
III	cdd_preserved	1.579
II	cdd_preserved	1.042
II	cdd_preserved	1.183
II	cdd_preserved	1.09
II	cdd_preserved	1.165
II	cdd_preserved	1.031
II	cdd_preserved	1.068
II	cdd_preserved	1.082
II	cdd_preserved	1.134
II	cdd_preserved	1.133
II	cdd_preserved	0.992
II	cdd_preserved	1.055
II	cdd_preserved	1.245
III	cdd_preserved	1.803
III	cdd_preserved	1.677
III	cdd_preserved	1.622
III	cdd_preserved	1.437
IV	cdd_preserved	3.574
III	cdd_preserved	2.249
I	cdd_preserved	0.884
I	cdd_preserved	0.806
I	cdd_preserved	0.72
I	cdd_preserved	0.672
I	cdd_preserved	0.894
I	cdd_preserved	0.575
I	cdd_preserved	0.632
I	cdd_preserved	0.6
I	cdd_preserved	0.514
I	cdd_preserved	0.539
IV	cdd_preserved	2.844
III	cdd_preserved	2.236
III	cdd_preserved	1.939
III	cdd_preserved	1.514
III	cdd_preserved	1.987
IV	cdd_preserved	2.51
IV	cdd_preserved	2.76
III	cdd_preserved	1.609
III	cdd_preserved	1.695
III	cdd_preserved	1.869
III	cdd_preserved	1.421
III	cdd_preserved	1.488
III	cdd_preserved	1.577
III	cdd_preserved	1.959
III	cdd_preserved	1.78
III	cdd_preserved	1.955
III	cdd_preserved	1.608
III	cdd_preserved	1.912
III	cdd_preserved	1.778
III	cdd_preserved	1.971
III	cdd_preserved	1.771
II	cdd_preserved	0.997
II	cdd_preserved	1.063
II	cdd_preserved	0.98
III	cdd_preserved	1.561
III	cdd_preserved	1.546
III	cdd_preserved	1.511
III	cdd_preserved	1.478
III	cdd_preserved	1.556
III	cdd_preserved	2.054
III	cdd_preserved	1.858
III	cdd_preserved	2.097
IV	cdd_preserved	2.738
IV	cdd_preserved	2.889
II	cdd_preserved	1.057
II	cdd_preserved	1.114
II	cdd_preserved	1.059
II	cdd_preserved	1.046
II	cdd_preserved	0.998
II	cdd_preserved	1.087
II	cdd_preserved	1.124
II	cdd_preserved	1.188
II	cdd_preserved	1.496
II	cdd_preserved	1.213
II	cdd_preserved	1.043
III	cdd_preserved	1.843
III	cdd_preserved	2.268
III	cdd_preserved	2.138
III	cdd_preserved	1.918
III	cdd_preserved	1.842
III	cdd_preserved	1.662
III	cdd_preserved	1.941
III	cdd_preserved	1.571
II	cdd_preserved	1.162
II	cdd_preserved	1.19
III	cdd_preserved	1.854
III	cdd_preserved	1.991
III	cdd_preserved	1.909
IV	cdd_preserved	2.644
II	cdd_preserved	1.094
III	cdd_preserved	1.469
III	cdd_preserved	1.587
III	cdd_preserved	1.583
III	cdd_preserved	1.633
III	cdd_preserved	1.638
III	cdd_preserved	1.542
III	cdd_preserved	1.569
III	cdd_preserved	1.561
III	cdd_preserved	1.955
IV	cdd_preserved	2.951
IV	cdd_preserved	2.597
III	cdd_preserved	1.91
