stage	measurement	size_mm
II	cdd_preserved	1.199
II	cdd_preserved	1.049
III	cdd_preserved	1.725
III	cdd_preserved	1.492
III	cdd_preserved	1.261
II	cdd_preserved	1.147
II	cdd_preserved	1.166
III	cdd_preserved	1.629
II	cdd_preserved	1.022
II	cdd_preserved	1.039
II	cdd_preserved	1.15
II	cdd_preserved	1.179
II	cdd_preserved	1.28
II	cdd_preserved	1.151
II	cdd_preserved	1.222
II	cdd_preserved	1.016
II	cdd_preserved	1.53
III	cdd_preserved	1.676
III	cdd_preserved	1.449
III	cdd_preserved	1.635
III	cdd_preserved	1.421
III	cdd_preserved	1.478
II	cdd_preserved	1.087
II	cdd_preserved	1.132
II	cdd_preserved	1.115
II	cdd_preserved	1.229
II	cdd_preserved	1.08
I	cdd_preserved	0.726
II	cdd_preserved	1.185
II	cdd_preserved	1.235
II	cdd_preserved	1.094
III	cdd_preserved	1.478
III	cdd_preserved	1.323
III	cdd_preserved	1.706
II	cdd_preserved	1.079
III	cdd_preserved	1.67
II	cdd_preserved	1.204
II	cdd_preserved	1.223
I	cdd_preserved	0.915
II	cdd_preserved	1.099
III	cdd_preserved	1.606
III	cdd_preserved	1.486
III	cdd_preserved	1.459
II	cdd_preserved	1.044
III	cdd_preserved	1.397
II	cdd_preserved	1.051
II	cdd_preserved	1.065
II	cdd_preserved	1.054
II	cdd_preserved	1.162
II	cdd_preserved	1.104
II	cdd_preserved	1.05
II	cdd_preserved	1.205
III	cdd_preserved	1.763
III	cdd_preserved	1.555
I	cdd_preserved	0.863
II	cdd_preserved	1.139
III	cdd_preserved	1.686
III	cdd_preserved	1.608
II	cdd_preserved	1.045
III	cdd_preserved	1.556
II	cdd_preserved	1.023
II	cdd_preserved	1.134
II	cdd_preserved	1.172
II	cdd_preserved	1.028
II	cdd_preserved	1.038
II	cdd_preserved	1.249
II	cdd_preserved	1.38
II	cdd_preserved	1.015
III	cdd_preserved	1.514
III	cdd_preserved	1.325
II	cdd_preserved	1.095
III	cdd_preserved	1.636
II	cdd_preserved	1.279
II	cdd_preserved	1.073
II	cdd_preserved	1.011
I	cdd_preserved	0.871
II	cdd_preserved	1.246
II	cdd_preserved	1.281
II	cdd_preserved	1.155
III	cdd_preserved	1.385
III	cdd_preserved	1.595
III	cdd_preserved	1.586
II	cdd_preserved	1.178
II	cdd_preserved	1.212
III	cdd_preserved	1.65
III	cdd_preserved	1.666
II	cdd_preserved	1.031
III	cdd_preserved	1.418
III	cdd_preserved	1.64
II	cdd_preserved	1.083
I	cdd_preserved	0.781
II	cdd_preserved	1.182
II	cdd_preserved	1.075
